condition_number,rep_set,rep,n,fcor,hthm_0tol,hthm_5tol,hthm_10tol,htmm_10tol,htmm_20tol,htmm_30tol,rel_0tol,pattern,ctcm_converged....ctcm_converged,ctcm_chi2,stcm_converged....stcm_converged,stcm_chi2,widaman_dif_p,widaman_dif_nfi,widaman_dif_tli,c_cicfa,c_chisqdif,i_cicfa,i_chisqdif
1,3,1,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1,3,2,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1
1,3,3,70,0.7,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
1,3,4,70,0.7,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
1,3,5,70,0.7,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1
1,3,6,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1,3,7,70,0.7,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0
1,3,8,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1,3,9,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,NA
1,3,10,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0
1,3,11,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1
1,3,12,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1,3,13,70,0.7,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0
1,3,14,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0
1,3,15,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1
1,3,16,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1
1,3,17,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1,3,18,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1
1,3,19,70,0.7,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,NA
1,3,20,70,0.7,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
1,3,21,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1
1,3,22,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0
1,3,23,70,0.7,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,NA
1,3,24,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1
1,3,25,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0
1,3,26,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1,3,27,70,0.7,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0
1,3,28,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0
1,3,29,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1,3,30,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1,3,31,70,0.7,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0
1,3,32,70,0.7,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0
1,3,33,70,0.7,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,NA,0,0,1
