condition_number,rep_set,rep,n,fcor,hthm_0tol,hthm_5tol,hthm_10tol,htmm_10tol,htmm_20tol,htmm_30tol,rel_0tol,pattern,ctcm_converged....ctcm_converged,ctcm_chi2,stcm_converged....stcm_converged,stcm_chi2,widaman_dif_p,widaman_dif_nfi,widaman_dif_tli,c_cicfa,c_chisqdif,i_cicfa,i_chisqdif
1,4,1,70,0.7,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1
1,4,2,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,NA
1,4,3,70,0.7,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1,4,4,70,0.7,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
1,4,5,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1,4,6,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,NA,0
1,4,7,70,0.7,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0
1,4,8,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,NA,1
1,4,9,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1,4,10,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1,4,11,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0
1,4,12,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0
1,4,13,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1,4,14,70,0.7,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1
1,4,15,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1
1,4,16,70,0.7,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1,4,17,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1
1,4,18,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,NA
1,4,19,70,0.7,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1,4,20,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1,4,21,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,NA
1,4,22,70,0.7,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1
