condition_number,rep_set,rep,n,fcor,hthm_0tol,hthm_5tol,hthm_10tol,htmm_10tol,htmm_20tol,htmm_30tol,rel_0tol,pattern,ctcm_converged....ctcm_converged,ctcm_chi2,stcm_converged....stcm_converged,stcm_chi2,widaman_dif_p,widaman_dif_nfi,widaman_dif_tli,c_cicfa,c_chisqdif,i_cicfa,i_chisqdif
2,1,57,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
2,1,58,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1
2,1,59,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,0,1
2,1,60,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,1,1
2,1,61,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
2,1,62,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,NA,1
2,1,63,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
2,1,64,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,1,1
2,1,65,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,NA,1,1,1
2,1,66,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
2,1,67,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,NA
2,1,68,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0
2,1,69,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
2,1,70,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,1,1
2,1,71,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2,1,72,70,0.9999999999,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2,1,73,70,0.9999999999,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,NA,1
2,1,74,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
2,1,75,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,NA
2,1,76,70,0.9999999999,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,NA
2,1,77,70,0.9999999999,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2,1,78,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,1,1
2,1,79,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,NA,0
2,1,80,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
2,1,81,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
2,1,82,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,NA
2,1,83,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,NA
2,1,84,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1
2,1,85,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,NA,1,0,1
2,1,86,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
2,1,87,70,0.9999999999,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0
2,1,88,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,NA,1,1,1
2,1,89,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1
2,1,90,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,NA,1
2,1,91,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
2,1,92,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
2,1,93,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA
2,1,94,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,NA,1
2,1,95,70,0.9999999999,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,NA
2,1,96,70,0.9999999999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,1
2,1,97,70,0.9999999999,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
2,1,98,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2,1,99,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,1,1,1
2,1,100,70,0.9999999999,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1
